Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
BBC News (UK),Regulator to quiz water firms over shortages https://t.co/1RZsv3A8qu,Sun Mar 11 04:33:27 +0000 2018,-0.1531,0.0,0.814,0.186,1
BBC News (UK),Winter Paralympics: GB skiers win super-G silver and bronze https://t.co/L4mbJI7wG8,Sun Mar 11 01:53:45 +0000 2018,0.5859,0.297,0.703,0.0,2
BBC News (UK),Man restrained by police in Lewisham dies https://t.co/J4c786t3ZB,Sun Mar 11 00:16:38 +0000 2018,0.0,0.0,1.0,0.0,3
BBC News (UK),Anti-Islamic letters probed by terror police https://t.co/AhuM3bp8Jb,Sat Mar 10 23:19:34 +0000 2018,-0.5267,0.0,0.638,0.362,4
BBC News (UK),Russian spy: Traces of nerve agent 'found at Zizzi' https://t.co/GOuB8D0qkI,Sat Mar 10 22:04:35 +0000 2018,0.0,0.0,1.0,0.0,5
BBC News (UK),Totnes landslide damages cars and shuts road https://t.co/nLBRpOdKrz,Sat Mar 10 19:45:36 +0000 2018,-0.4404,0.0,0.707,0.293,6
BBC News (UK),Mother's Day protest for Nazanin Zaghari-Ratcliffe https://t.co/OWkGWQQRot,Sat Mar 10 19:45:36 +0000 2018,-0.25,0.0,0.75,0.25,7
BBC News (UK),Student asked to leave Rush bar in Mansfield over turban https://t.co/UkSmKsQAb9,Sat Mar 10 19:45:35 +0000 2018,-0.0516,0.0,0.893,0.107,8
BBC News (UK),Six Nations: Ireland win 2018 title after England's defeat to France https://t.co/osnrkZqlJn,Sat Mar 10 18:44:16 +0000 2018,0.2023,0.226,0.595,0.179,9
BBC News (UK),Six Nations: France 22-16 England https://t.co/fLzXFF9Q1H,Sat Mar 10 18:39:51 +0000 2018,0.0,0.0,1.0,0.0,10
BBC News (UK),"RT @bbcrugbyunion: FT: France 22-16 England

Ireland are Six Nations champions!

A frantic finish from England in Paris, but they could not…",Sat Mar 10 18:33:24 +0000 2018,0.1386,0.106,0.811,0.083,11
BBC News (UK),"RT @BBCBreaking: More than 200 witnesses identified as police investigate Russian ex-spy poisoning ""at speed"", home secretary says https://…",Sat Mar 10 17:18:57 +0000 2018,-0.5859,0.0,0.826,0.174,12
BBC News (UK),Six Nations: Ireland 28-8 Scotland https://t.co/Hc8cQw283b,Sat Mar 10 16:29:41 +0000 2018,0.0,0.0,1.0,0.0,13
BBC News (UK),Luke Atherton reunited with RAF 'hero who saved my life' https://t.co/7km8MfxSBy,Sat Mar 10 16:16:26 +0000 2018,0.7506,0.416,0.584,0.0,14
BBC News (UK),Woman robbed on motorway hard shoulder https://t.co/a95guJSP6J,Sat Mar 10 16:16:26 +0000 2018,-0.1027,0.0,0.811,0.189,15
BBC News (UK),Man shot in head during 'brutal' attack in West Bromwich https://t.co/3E7NodJAeL,Sat Mar 10 16:16:26 +0000 2018,-0.4767,0.0,0.763,0.237,16
BBC News (UK),"RT @BBCPolitics: To mark one year to go until #Brexit, we're hosting a special live edition of our #Brexitcast podcast on 28th March in Lon…",Sat Mar 10 13:56:26 +0000 2018,0.4019,0.105,0.895,0.0,17
BBC News (UK),"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",Sat Mar 10 13:49:23 +0000 2018,0.4404,0.209,0.791,0.0,18
BBC News (UK),Friend tells court Jackson would be 'last person' to rape someone https://t.co/JAu3MZEWvq,Sat Mar 10 12:33:48 +0000 2018,-0.3612,0.179,0.559,0.263,19
BBC News (UK),Elizabeth Hurley's nephew stabbed in Wandsworth https://t.co/SP9JsWcGQu,Sat Mar 10 11:28:29 +0000 2018,-0.4404,0.0,0.674,0.326,20
BBC News (UK),Regulator to quiz water firms over shortages https://t.co/1RZsv3A8qu,Sun Mar 11 04:33:27 +0000 2018,-0.1531,0.0,0.814,0.186,21
BBC News (UK),Winter Paralympics: GB skiers win super-G silver and bronze https://t.co/L4mbJI7wG8,Sun Mar 11 01:53:45 +0000 2018,0.5859,0.297,0.703,0.0,22
BBC News (UK),Man restrained by police in Lewisham dies https://t.co/J4c786t3ZB,Sun Mar 11 00:16:38 +0000 2018,0.0,0.0,1.0,0.0,23
BBC News (UK),Anti-Islamic letters probed by terror police https://t.co/AhuM3bp8Jb,Sat Mar 10 23:19:34 +0000 2018,-0.5267,0.0,0.638,0.362,24
BBC News (UK),Russian spy: Traces of nerve agent 'found at Zizzi' https://t.co/GOuB8D0qkI,Sat Mar 10 22:04:35 +0000 2018,0.0,0.0,1.0,0.0,25
BBC News (UK),Totnes landslide damages cars and shuts road https://t.co/nLBRpOdKrz,Sat Mar 10 19:45:36 +0000 2018,-0.4404,0.0,0.707,0.293,26
BBC News (UK),Mother's Day protest for Nazanin Zaghari-Ratcliffe https://t.co/OWkGWQQRot,Sat Mar 10 19:45:36 +0000 2018,-0.25,0.0,0.75,0.25,27
BBC News (UK),Student asked to leave Rush bar in Mansfield over turban https://t.co/UkSmKsQAb9,Sat Mar 10 19:45:35 +0000 2018,-0.0516,0.0,0.893,0.107,28
BBC News (UK),Six Nations: Ireland win 2018 title after England's defeat to France https://t.co/osnrkZqlJn,Sat Mar 10 18:44:16 +0000 2018,0.2023,0.226,0.595,0.179,29
BBC News (UK),Six Nations: France 22-16 England https://t.co/fLzXFF9Q1H,Sat Mar 10 18:39:51 +0000 2018,0.0,0.0,1.0,0.0,30
BBC News (UK),"RT @bbcrugbyunion: FT: France 22-16 England

Ireland are Six Nations champions!

A frantic finish from England in Paris, but they could not…",Sat Mar 10 18:33:24 +0000 2018,0.1386,0.106,0.811,0.083,31
BBC News (UK),"RT @BBCBreaking: More than 200 witnesses identified as police investigate Russian ex-spy poisoning ""at speed"", home secretary says https://…",Sat Mar 10 17:18:57 +0000 2018,-0.5859,0.0,0.826,0.174,32
BBC News (UK),Six Nations: Ireland 28-8 Scotland https://t.co/Hc8cQw283b,Sat Mar 10 16:29:41 +0000 2018,0.0,0.0,1.0,0.0,33
BBC News (UK),Luke Atherton reunited with RAF 'hero who saved my life' https://t.co/7km8MfxSBy,Sat Mar 10 16:16:26 +0000 2018,0.7506,0.416,0.584,0.0,34
BBC News (UK),Woman robbed on motorway hard shoulder https://t.co/a95guJSP6J,Sat Mar 10 16:16:26 +0000 2018,-0.1027,0.0,0.811,0.189,35
BBC News (UK),Man shot in head during 'brutal' attack in West Bromwich https://t.co/3E7NodJAeL,Sat Mar 10 16:16:26 +0000 2018,-0.4767,0.0,0.763,0.237,36
BBC News (UK),"RT @BBCPolitics: To mark one year to go until #Brexit, we're hosting a special live edition of our #Brexitcast podcast on 28th March in Lon…",Sat Mar 10 13:56:26 +0000 2018,0.4019,0.105,0.895,0.0,37
BBC News (UK),"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",Sat Mar 10 13:49:23 +0000 2018,0.4404,0.209,0.791,0.0,38
BBC News (UK),Friend tells court Jackson would be 'last person' to rape someone https://t.co/JAu3MZEWvq,Sat Mar 10 12:33:48 +0000 2018,-0.3612,0.179,0.559,0.263,39
BBC News (UK),Elizabeth Hurley's nephew stabbed in Wandsworth https://t.co/SP9JsWcGQu,Sat Mar 10 11:28:29 +0000 2018,-0.4404,0.0,0.674,0.326,40
BBC News (UK),"Woman, 73, charged with murder after man died in Dunstable https://t.co/ykJ4hFmGyp",Sat Mar 10 11:20:41 +0000 2018,-0.8779,0.0,0.442,0.558,41
BBC News (UK),"RT @bbcouch: ⚡️ “Skiing blind – from a 70mph crash to a #Paralympics podium”

https://t.co/CwbzosCkja",Sat Mar 10 10:48:10 +0000 2018,-0.6597,0.0,0.649,0.351,42
BBC News (UK),"RT @BBCEngland: Home Secretary Amber Rudd is to chair a meeting of the government's emergency committee, as the investigation into the atte…",Sat Mar 10 09:20:18 +0000 2018,-0.3818,0.0,0.885,0.115,43
