Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
ABC News,"Manuel Oliver, grieving father of Parkland shooting victim Joaquin Oliver, paints a mural to pay tribute to his son… https://t.co/oIzPNE3lL0",Mon Mar 12 20:08:18 +0000 2018,-0.7003,0.0,0.702,0.298,1
ABC News,"RT @ABCNewsWX: Another day, another nor'easter. The 3rd one in less than two weeks! Boston to get clobbered on Tuesday with blizzard condit…",Mon Mar 12 20:04:37 +0000 2018,0.0,0.0,1.0,0.0,2
ABC News,"MORE: Authorities do not have descriptions of suspects, vehicles involved in series of explosions in Austin, implor… https://t.co/TmUfgSsERq",Mon Mar 12 20:02:00 +0000 2018,-0.34,0.0,0.876,0.124,3
ABC News,"Austin police chief encourages residents to be vigilant amid series of package explosions, alert authorities to une… https://t.co/2isieJWRRU",Mon Mar 12 19:54:44 +0000 2018,0.7003,0.312,0.688,0.0,4
ABC News,"NEW: Officials believe three explosions in past ten days in Austin, Texas are related; no motive identified yet.… https://t.co/NLzGujQjV7",Mon Mar 12 19:52:26 +0000 2018,-0.296,0.0,0.891,0.109,5
ABC News,"Joint Security Area a likely option for U.S.-North Korea talks, Seoul says. https://t.co/7rePZ6zJ4T https://t.co/fXtVrrrtDM",Mon Mar 12 19:51:06 +0000 2018,0.34,0.167,0.833,0.0,6
ABC News,"Scary video shows a professional skier being buried in an avalanche in the French Alps. Luckily, his quick-thinking… https://t.co/RjTb1Rr2Y1",Mon Mar 12 19:50:02 +0000 2018,0.0258,0.147,0.711,0.142,7
ABC News,"LIVE: Austin, Texas officials brief on package explosions that have killed at least one person today. https://t.co/ViKyGtbVyW",Mon Mar 12 19:48:33 +0000 2018,-0.6705,0.0,0.78,0.22,8
ABC News,Stunning video shows golfers hitting the links at the Lofoten Links course in Arctic Norway underneath the spectacu… https://t.co/IJVi7MMMfJ,Mon Mar 12 19:44:33 +0000 2018,0.3818,0.126,0.874,0.0,9
ABC News,"MORE: Texas Gov. Abbott offers $15,000 reward for information on any persons involved in explosions that have struc… https://t.co/D4LE0zp0HQ",Mon Mar 12 19:41:40 +0000 2018,0.5719,0.171,0.829,0.0,10
