Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
BBC News (UK),"RT @BBCSport: Jamie Carragher has apologised for the ""awful"" spitting incident which has led to his suspension by Sky Sports. 

Watch/read:…",Mon Mar 12 20:25:56 +0000 2018,0.1027,0.065,0.935,0.0,1
BBC News (UK),Chloe Miazek death: Mark Bruce admits Aberdeen killing https://t.co/U4MylRiE0T,Mon Mar 12 19:17:43 +0000 2018,-0.7964,0.133,0.364,0.503,2
BBC News (UK),Mesh surgeon removed ovaries without prior consent https://t.co/TvYyMDqJer,Mon Mar 12 19:12:59 +0000 2018,-0.1695,0.0,0.808,0.192,3
BBC News (UK),"RT @BBCSport: Eddie Jones is open to bringing in an another coach to help with England's stuttering attack.

https://t.co/AOvhpSh6aT https:…",Mon Mar 12 19:08:15 +0000 2018,-0.4019,0.108,0.677,0.215,4
BBC News (UK),Coronation Street unveils new on-set memorial to Manchester Arena victims https://t.co/cyS7F2KY3t,Mon Mar 12 18:45:31 +0000 2018,-0.3182,0.0,0.813,0.187,5
BBC News (UK),"RT @bbcouch: Why is drinking water so bad for snowboarders?

https://t.co/BTPuQiXEzc

#PyongChang2018
#WinterParalympics 
#snowboarding 
#s…",Mon Mar 12 18:34:24 +0000 2018,-0.6696,0.0,0.757,0.243,6
BBC News (UK),RT @BBCWorldatOne: A comedy “northern powerhouse” - fellow music hall great Roy Hudd pays tribute to his friend Ken Dodd #wato https://t.co…,Mon Mar 12 18:28:59 +0000 2018,0.8689,0.366,0.634,0.0,7
BBC News (UK),"RT @BBCJonSopel: Now that @theresa_may has confirmed that nerve agent used was developed by #Russia, will there be condemnation from @realD…",Mon Mar 12 18:23:43 +0000 2018,-0.5859,0.0,0.84,0.16,8
BBC News (UK),"Russia reacts to @theresa_may statement on Salisbury poisoning

https://t.co/YWafirbA4f https://t.co/lcq66qBqEi",Mon Mar 12 17:51:05 +0000 2018,-0.5859,0.0,0.703,0.297,9
BBC News (UK),"Salisbury poisoning was ""indiscriminate and reckless act against the United Kingdom"" - PM @Theresa_May… https://t.co/OvJSdy4fjr",Mon Mar 12 17:38:37 +0000 2018,-0.5719,0.138,0.542,0.32,10
BBC News (UK),RT @BBCAlagiah: Theresa May says “no question of business as usual” with Russia after revealing military grade nerve agent was used in Sali…,Mon Mar 12 17:23:58 +0000 2018,0.0,0.0,1.0,0.0,11
BBC News (UK),"Highly likely Russia behind spy attack, says Theresa May https://t.co/xhB0JRclb3",Mon Mar 12 17:19:37 +0000 2018,-0.4767,0.0,0.744,0.256,12
BBC News (UK),"RT @BBCBreaking: Former Russian spy &amp; his daughter poisoned in Salisbury by ""military grade nerve agent of a type developed by Russia"" - UK…",Mon Mar 12 17:15:51 +0000 2018,-0.4939,0.0,0.868,0.132,13
BBC News (UK),"Celibacy and abstinence should be promoted as ""positive life choices"" says @c_of_e 

https://t.co/XVe6ZoyZdM",Mon Mar 12 16:31:07 +0000 2018,0.7506,0.368,0.632,0.0,14
BBC News (UK),Tube push attempted murder: Alan Alencar sectioned https://t.co/uyjgPeZbR1,Mon Mar 12 16:27:03 +0000 2018,-0.6908,0.0,0.598,0.402,15
BBC News (UK),Giant panda breeding programme at Edinburgh Zoo suspended https://t.co/m1XJBJpLOX,Mon Mar 12 16:09:35 +0000 2018,-0.4767,0.0,0.721,0.279,16
BBC News (UK),Kathmandu airport crash: Footage shows wreckage of plane crash that killed at least 49 people.… https://t.co/ZYDXT4CnAY,Mon Mar 12 15:58:17 +0000 2018,-0.872,0.0,0.568,0.432,17
BBC News (UK),Millennial 26-30 railcard to launch nationwide https://t.co/1MLG2uIQ9l,Mon Mar 12 15:47:44 +0000 2018,0.0,0.0,1.0,0.0,18
BBC News (UK),Meghan Markle joins Queen for Commonwealth Day service https://t.co/DmeAd0hsHG,Mon Mar 12 15:34:09 +0000 2018,0.0,0.0,1.0,0.0,19
BBC News (UK),"RT @BBCParliament: Speaker John Bercow is chairing question-time at the moment. At around 4pm, Caroline Lucas asks an urgent question about…",Mon Mar 12 15:21:12 +0000 2018,0.2023,0.083,0.917,0.0,20
BBC News (UK),"RT @BBCSport: Jamie Carragher has apologised for the ""awful"" spitting incident which has led to his suspension by Sky Sports. 

Watch/read:…",Mon Mar 12 20:25:56 +0000 2018,0.1027,0.065,0.935,0.0,21
BBC News (UK),Chloe Miazek death: Mark Bruce admits Aberdeen killing https://t.co/U4MylRiE0T,Mon Mar 12 19:17:43 +0000 2018,-0.7964,0.133,0.364,0.503,22
BBC News (UK),Mesh surgeon removed ovaries without prior consent https://t.co/TvYyMDqJer,Mon Mar 12 19:12:59 +0000 2018,-0.1695,0.0,0.808,0.192,23
BBC News (UK),"RT @BBCSport: Eddie Jones is open to bringing in an another coach to help with England's stuttering attack.

https://t.co/AOvhpSh6aT https:…",Mon Mar 12 19:08:15 +0000 2018,-0.4019,0.108,0.677,0.215,24
BBC News (UK),Coronation Street unveils new on-set memorial to Manchester Arena victims https://t.co/cyS7F2KY3t,Mon Mar 12 18:45:31 +0000 2018,-0.3182,0.0,0.813,0.187,25
