Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
Fox News,"Austin PD Chief Brian Manley: “These are very powerful devices, and that’s why, again, it is so imperative that no… https://t.co/aUw5j1ayQR",Mon Mar 12 20:25:55 +0000 2018,0.4754,0.134,0.866,0.0,1
Fox News,"Possible Justice Kennedy retirement would give Trump opportunity to tilt Supreme Court to right - via @brookefoxnews
https://t.co/5JLhnAsJeH",Mon Mar 12 20:25:13 +0000 2018,0.8689,0.412,0.588,0.0,2
Fox News,Austin PD Chief Brian Manley: “We want to ensure this community that we’re going to do everything we can to keep yo… https://t.co/cT4IyObdKQ,Mon Mar 12 20:20:54 +0000 2018,0.4404,0.157,0.843,0.0,3
Fox News,RT @FoxBusiness: #BreakingNews: Nasdaq closes at new record high for the second straight day. The Dow Jones Industrial Average and S&amp;P 500…,Mon Mar 12 20:14:37 +0000 2018,0.2263,0.083,0.917,0.0,4
Fox News,Austin PD Chief Brian Manley: “We do not believe that this package here today was left by any of the official mail… https://t.co/MNejrEm1if,Mon Mar 12 20:13:34 +0000 2018,0.0,0.0,1.0,0.0,5
Fox News,Austin PD Chief Brian Manley: “We do not know yet whether the victims are the intended targets on these cases. Agai… https://t.co/wExh5eeyrE,Mon Mar 12 20:07:27 +0000 2018,-0.3182,0.0,0.901,0.099,6
Fox News,"Official: “We do not have a specific victimology or ideology that we have identified, so assigning a motive to this… https://t.co/olHEXPRenK",Mon Mar 12 20:01:34 +0000 2018,-0.0572,0.0,0.936,0.064,7
Fox News,"Official: “This, again, is the third in what we believe to be related incidents that have occurred over the past 10… https://t.co/kkfCKuoVX3",Mon Mar 12 19:57:20 +0000 2018,0.0,0.0,1.0,0.0,8
Fox News,"Official: “The victim in this incident came outside of her residence and found a package out front, and she picked… https://t.co/XHunBoFKWO",Mon Mar 12 19:54:40 +0000 2018,-0.2732,0.0,0.9,0.1,9
Fox News,.@PressSec: “@POTUS will travel to Peru and Colombia next month. This will mark the president’s first trip to Latin… https://t.co/F1ug6AI1tl,Mon Mar 12 19:19:40 +0000 2018,0.0,0.0,1.0,0.0,10
Fox News,.@PressSec: “@POTUS is supporting legislation and reforms to strengthen the background check system and law enforce… https://t.co/YJh1JvKPE8,Mon Mar 12 19:17:39 +0000 2018,0.6369,0.257,0.743,0.0,11
Fox News,".@PressSec: “We will ensure our schools are safe and secured just like our airports, stadiums, and government build… https://t.co/rRarZSXOC6",Mon Mar 12 19:15:57 +0000 2018,0.8658,0.416,0.584,0.0,12
Fox News,.@PressSec Sarah Sanders holds a press briefing at the @WhiteHouse https://t.co/vdFAkP1DZz,Mon Mar 12 19:07:16 +0000 2018,0.0,0.0,1.0,0.0,13
