Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
The New York Times,RT @nytvideo: Brenna Huckaby just won gold at the Paralympics. She shared with us what she visualizes during her dream performance: https:/…,Mon Mar 12 19:20:09 +0000 2018,0.7964,0.299,0.701,0.0,1
The New York Times,A new show in Rome lets visitors get up close and dazzled by Michelangelo's Sistine Chapel. Could the immersive exp… https://t.co/spiL9IZbgj,Mon Mar 12 19:10:04 +0000 2018,0.0,0.0,1.0,0.0,2
The New York Times,Bracketology comes with many assumptions and suppositions. Don’t fall into these traps. https://t.co/UWcqaLDiAw,Mon Mar 12 19:00:08 +0000 2018,0.0,0.0,1.0,0.0,3
The New York Times,"Why do so many Americans kill one another, and how can the violence be stopped? The CDC quit studying these and oth… https://t.co/BAsLuUJHER",Mon Mar 12 18:50:08 +0000 2018,-0.8993,0.0,0.646,0.354,4
The New York Times,RT @peterbakernyt: Context: Is economy doing well under Trump? Yes. Was it doing well when he took over? Yes. America has added 2.5 million…,Mon Mar 12 18:40:04 +0000 2018,0.8385,0.332,0.668,0.0,5
The New York Times,"Decades after Diane Arbus’s death, the question remains: Are her portraits empathetic acknowledgments of a shared h… https://t.co/TNzCBE3HI6",Mon Mar 12 18:30:05 +0000 2018,0.0516,0.222,0.609,0.17,6
The New York Times,The debate over speech on campus may be growing less relevant. A majority of students say that most political and s… https://t.co/368cZEycni,Mon Mar 12 18:29:33 +0000 2018,0.1779,0.078,0.922,0.0,7
The New York Times,"A majority of students in every demographic drew a line for hate speech, saying that it does not deserve First Amen… https://t.co/YfK9Xczh36",Mon Mar 12 18:24:34 +0000 2018,-0.5719,0.0,0.837,0.163,8
The New York Times,Opinions differed widely by demographic. Those who belong to groups historically or currently in positions of power… https://t.co/ub4megXTkB,Mon Mar 12 18:22:14 +0000 2018,0.0,0.0,1.0,0.0,9
The New York Times,"College students believe about equally in free expression and pluralism. But when forced to choose, a majority of s… https://t.co/9S4wWUkj2o",Mon Mar 12 18:18:53 +0000 2018,0.0772,0.142,0.73,0.129,10
The New York Times,"Free speech on college campuses appears to be under attack, but what do the students themselves think? A new study… https://t.co/9SLy6HY6Pn",Mon Mar 12 18:16:48 +0000 2018,0.0258,0.097,0.811,0.092,11
The New York Times,"Passengers in a helicopter that fell in the East River were underwater, cinched in harnesses. Divers tried to free… https://t.co/M4X1nSdaUP",Mon Mar 12 18:00:03 +0000 2018,0.0,0.0,1.0,0.0,12
The New York Times,"After Putin suggested that Jews might have been behind the hacking attack on the 2016 election, top Democrats implo… https://t.co/1Uq1AmhSaa",Mon Mar 12 17:50:06 +0000 2018,-0.3182,0.079,0.786,0.135,13
The New York Times,"Coercion, abuse, billions seized: As the Saudi crown prince prepares to visit the U.S., we found disturbing aspects… https://t.co/PFNkmeDkF4",Mon Mar 12 17:40:12 +0000 2018,-0.8176,0.0,0.694,0.306,14
The New York Times,"Breaking News: Prime Minister Theresa May of Britain said it was ""highly likely"" that Russia was behind the poisoni… https://t.co/wkRIJUY8MC",Mon Mar 12 17:26:21 +0000 2018,0.0,0.0,1.0,0.0,15
The New York Times,Servers and diners: Do you see a connection between tipping and bad behavior? We want to hear from you. https://t.co/yMph3DZJuY,Mon Mar 12 17:21:00 +0000 2018,-0.4939,0.06,0.78,0.161,16
The New York Times,Managers can protect workers by switching a server’s table or asking an offending customer to leave. But even for b… https://t.co/UuqB9K3PWu,Mon Mar 12 17:18:00 +0000 2018,-0.2263,0.108,0.705,0.187,17
The New York Times,“Most of my day is geared towards how is a man going to feel about me. How can I maximize tips without feeling over… https://t.co/sYagnb5MBJ,Mon Mar 12 17:15:00 +0000 2018,-0.0951,0.0,0.941,0.059,18
The New York Times,Brittany Gilbert said she used to “get so creeped out and weirded out” by customers’ behavior. But now?… https://t.co/EXlsS8KNA1,Mon Mar 12 17:12:00 +0000 2018,0.0,0.0,1.0,0.0,19
The New York Times,"Dana Angelo gave a start when a man reached up her skirt and grabbed her. But she stifled a scream, afraid to make… https://t.co/eunFWoj87c",Mon Mar 12 17:09:00 +0000 2018,-0.5719,0.057,0.735,0.208,20
The New York Times,RT @nytvideo: Brenna Huckaby just won gold at the Paralympics. She shared with us what she visualizes during her dream performance: https:/…,Mon Mar 12 19:20:09 +0000 2018,0.7964,0.299,0.701,0.0,21
